Name,Price,Growth,Monthly Growth,Subs,Funds,Weeks,Trades,Winrate,DD
North East Way,30 USD,1 971%,Profit/Month: 14%,29,78K USD,112,2 211,69%,47%
BoomBuhTruh,30 USD,1 117%,Profit/Month: 11%,15,48K USD,139,1 765,70%,42%
Tree forest6,30 USD,1 041%,Profit/Month: 8%,11,19K USD,32,1 151,82%,40%
Breakthrough Strategy ICM,30 USD,892%,Profit/Month: 8%,9,340K USD,142,1 495,75%,31%
Aztec Empire,30 USD,533%,Profit/Month: 9%,326,1.4M USD,23,377,81%,24%
Hal Adullukom Ala Tijara,30 USD,415%,Profit/Month: 9%,22,33K USD,113,1 126,70%,16%
Hundred PIPS,30 USD,364%,Profit/Month: 9%,16,17K USD,19,214,61%,32%
True Profit,35 USD,401%,Profit/Month: 54%,31,35K USD,19,270,67%,26%
Derricks US FIFO No Hedge,30 USD,306%,Profit/Month: 7%,17,50K USD,27,458,81%,22%
Leon,30 USD,285%,Profit/Month: -6%,13,22K USD,60,229,63%,10%
IOS EURUSD MT4,30 USD,239%,Profit/Month: -1%,14,112K USD,41,147,71%,14%
Gold Trader,30 USD,242%,Profit/Month: 4%,19,87K USD,55,413,84%,17%
Ardana Sogi,4999 USD,573%,Profit/Month: 13%,98,205K USD,27,1 902,79%,39%
Raketa,30 USD,2 194%,Profit/Month: 8%,1,4.9K USD,227,2 258,72%,45%
Intensive,39 USD,197%,Profit/Month: 11%,17,24K USD,40,133,76%,9%
Firmum Fiduciam Motus,30 USD,309%,Profit/Month: 2%,4,5.9K USD,224,3 142,73%,28%
Retirement account,30 USD,106%,Profit/Month: 6%,37,224K USD,106,656,82%,20%
ICM01,30 USD,151%,Profit/Month: 22%,11,33K USD,37,3 611,76%,19%
FxInvesting,30 USD,286%,Profit/Month: 22%,10,20K USD,24,551,72%,31%
ZoomFxPro NewEnergy 1,30 USD,1 575%,Profit/Month: -15%,0,0 USD,160,897,48%,41%
Bushmills,30 USD,2 811%,Profit/Month: -23%,173,409K USD,108,2 981,96%,28%
Shikari,30 USD,1 289%,Profit/Month: 1%,4,19K USD,330,4 174,68%,33%
VK7777,30 USD,1 284%,Profit/Month: -6%,0,0 USD,213,1 113,74%,41%
Taspen,30 USD,2 843%,Profit/Month: 14%,2,3.1K USD,50,1 188,48%,51%
Koala,30 USD,241%,Profit/Month: 10%,2,7.5K USD,75,3 157,61%,41%
Biomechanoid,20 USD,145%,Profit/Month: 1%,9,36K USD,240,1 953,86%,24%
ZoomFxPro NewEnergy 2,30 USD,1 137%,Profit/Month: -19%,0,0 USD,160,901,47%,39%
WellMaxROBOT,40 USD,101%,Profit/Month: 7%,39,342K USD,27,1 460,76%,14%
Fast Way,30 USD,123%,Profit/Month: 16%,10,29K USD,31,260,73%,34%
Terbo Auto1,30 USD,1 114%,Profit/Month: 42%,0,0 USD,26,679,72%,40%
Profitable signal second,30 USD,144%,Profit/Month: 18%,17,75K USD,29,98,90%,36%
GapFixer Gap2,30 USD,872%,Profit/Month: -6%,0,0 USD,109,2 404,56%,32%
Small Fund Trader 3,1000 USD,519%,Profit/Month: 7%,7,5.6K USD,68,448,72%,29%
Martin Gale Gold Spot MT4,30 USD,891%,Profit/Month: 20%,1,6.1K USD,80,4 380,79%,38%
Invest24,40 USD,757%,Profit/Month: 4%,92,9.5M USD,152,7 881,71%,27%
Quant Trading Moderate Risk,99 USD,794%,Profit/Month: 17%,0,0 USD,79,6 026,78%,31%
AsiaBankFx,20 USD,349%,Profit/Month: 4%,1,17 USD,233,3 943,77%,39%
SFE Night Scalper,40 USD,684%,Profit/Month: 2%,2,95K USD,250,13 688,65%,34%
EU GUru,30 USD,680%,Profit/Month: 8%,1,874 USD,175,3 494,79%,20%
ICMarkets,30 USD,685%,Profit/Month: -1%,0,0 USD,137,10 046,77%,31%
FOXX24,30 USD,678%,Profit/Month: 3%,0,0 USD,200,4 965,60%,35%
DAINESE A,30 USD,697%,Profit/Month: 10%,1,5.7K USD,85,2 496,68%,35%
Confident Trading,30 USD,64%,Profit/Month: -2%,12,23K USD,44,128,67%,41%
QQWX415651654,30 USD,754%,Profit/Month: 4%,0,0 USD,21,80,76%,38%
ICMarkets EURUSD,30 USD,611%,Profit/Month: -2%,1,14 USD,135,9 541,77%,27%
Greezly,30 USD,669%,Profit/Month: 2%,3,3.4K USD,98,421,70%,36%
WayOff,30 USD,1 812%,Profit/Month: 77%,1,0 USD,25,113,66%,37%
YiDi wind,30 USD,842%,Profit/Month: -38%,4,5.4K USD,97,461,49%,49%
Millionaire EURCAD,30 USD,111%,Profit/Month: 5%,0,0 USD,70,754,68%,37%
SWin,50 USD,551%,Profit/Month: -5%,0,0 USD,93,705,45%,24%
Kaka Itrading TOP,100 USD,591%,Profit/Month: 4%,4,2.9M USD,121,17 293,67%,32%
Growth gene,30 USD,612%,Profit/Month: 11%,1,266 USD,97,1 379,77%,45%
UPTREND FX,30 USD,835%,Profit/Month: 56%,0,0 USD,27,389,41%,35%
Safe EA Project,30 USD,528%,Profit/Month: 0%,0,0 USD,89,214,61%,31%
GoWinCrossNC,30 USD,497%,Profit/Month: 2%,0,0 USD,331,10 460,67%,42%
ForexRealProfitEA FRPEU,30 USD,471%,Profit/Month: 5%,1,26 USD,373,7 482,64%,27%
Yellow mouse Conservative,39 USD,668%,Profit/Month: 3%,0,0 USD,165,1 459,70%,31%
EA Hope V5,30 USD,526%,Profit/Month: 6%,2,2.2K USD,113,1 187,75%,45%
Turboscalping,30 USD,526%,Profit/Month: 10%,0,0 USD,265,3 656,70%,45%
WeRichTradingBlogSpotCom1,30 USD,861%,Profit/Month: -21%,2,911 USD,28,110,60%,49%
ForexRealProfitEA FRPEU FRPGU,40 USD,647%,Profit/Month: 4%,1,5.8K USD,346,1 032,57%,36%
Advanced Scalper long term account,30 USD,456%,Profit/Month: -21%,0,0 USD,236,5 519,73%,43%
RML,30 USD,438%,Profit/Month: -7%,0,0 USD,35,664,81%,39%
SECURE MONTHLY PERFORMANCE,30 USD,464%,Profit/Month: 3%,0,0 USD,87,642,64%,45%
TRADING DAILY,30 USD,413%,Profit/Month: -4%,0,0 USD,130,981,80%,34%
AlphaDayWalker,30 USD,792%,Profit/Month: 0%,0,0 USD,290,12 593,77%,38%
FOK 4,30 USD,472%,Profit/Month: -17%,1,4.4K USD,16,531,53%,32%
AsianPower,30 USD,415%,Profit/Month: 0%,0,0 USD,145,4 200,69%,43%
DgEkvaIC,35 USD,390%,Profit/Month: 2%,0,0 USD,192,1 863,79%,40%
WebMasterMaksim Q Exness,30 USD,381%,Profit/Month: 4%,1,0 USD,89,1 154,65%,8%
Dogma Invest,30 USD,374%,Profit/Month: 1%,1,24K USD,202,13 086,55%,39%
Perpetuum Mobile by NPM23,30 USD,395%,Profit/Month: 1%,0,0 USD,226,5 601,70%,43%
WebMasterMaksim 31,30 USD,370%,Profit/Month: 4%,1,107 USD,96,1 472,65%,18%
PGP Profit,30 USD,368%,Profit/Month: 5%,0,0 USD,243,2 996,72%,30%
True Range,30 USD,358%,Profit/Month: 12%,4,12K USD,75,804,78%,35%
DAINESE B,30 USD,357%,Profit/Month: -11%,0,0 USD,81,1 293,66%,20%
QG MutiEA trade,30 USD,595%,Profit/Month: 60%,1,9 USD,22,589,84%,45%
DAINESE C,30 USD,349%,Profit/Month: -2%,0,0 USD,56,856,70%,27%
Invest Pro,31.99 USD,783%,Profit/Month: -25%,4,6.1K USD,16,478,76%,35%
My very best,30 USD,328%,Profit/Month: 2%,0,0 USD,154,2 206,73%,37%
Pityuks EA XM cent,1000 USD,777%,Profit/Month: 6%,1,0 USD,36,744,64%,25%
Libazol,30 USD,424%,Profit/Month: 12%,0,0 USD,75,150,79%,47%
Shark Scalper Pro Low Risk,30 USD,460%,Profit/Month: 16%,0,0 USD,21,1 376,86%,45%
Prado JPY risk 3 prc,39 USD,330%,Profit/Month: 49%,0,0 USD,34,123,48%,24%
Night Bot,30 USD,288%,Profit/Month: -3%,0,0 USD,126,2 228,71%,33%
KTN 01,35 USD,300%,Profit/Month: 0%,0,0 USD,107,553,50%,21%
Draco FX,30 USD,61%,Profit/Month: 11%,0,0 USD,70,817,68%,44%
MyEnlightenment,30 USD,276%,Profit/Month: 2%,0,0 USD,210,4 432,71%,30%
J Scalping 713,30 USD,295%,Profit/Month: -2%,1,52 USD,17,601,76%,30%
Rocket EA GBPUSD,30 USD,422%,Profit/Month: 73%,7,3.7K USD,16,37,72%,49%
ICM TS 2019,30 USD,4 210%,Profit/Month: -5%,0,0 USD,63,6 334,63%,52%
CYJQR,30 USD,277%,Profit/Month: 19%,2,3.3K USD,73,1 837,71%,30%
Night owl 2,30 USD,271%,Profit/Month: 0%,0,0 USD,131,1 491,71%,19%
Hassassin419,30 USD,297%,Profit/Month: 3%,0,0 USD,94,4 094,70%,44%
Zhdun2020,30 USD,273%,Profit/Month: 26%,0,0 USD,26,333,48%,26%
ProdigyScalping,30 USD,328%,Profit/Month: 24%,0,0 USD,18,112,85%,41%
Stream,30 USD,316%,Profit/Month: -25%,0,0 USD,14,47,61%,39%
Instrumental,30 USD,247%,Profit/Month: -13%,0,0 USD,42,613,65%,28%
Vixion Ea Plus,30 USD,331%,Profit/Month: 10%,0,0 USD,22,387,80%,35%
Belkaglazer S,30 USD,246%,Profit/Month: 5%,0,0 USD,142,441,74%,38%
AS Nasdaq DayTrade 4275,30 USD,275%,Profit/Month: -16%,0,0 USD,15,123,39%,42%
FXC Gold Pack 01,30 USD,241%,Profit/Month: 12%,1,235 USD,109,440,49%,36%
Hedwig GMI,49.99 USD,241%,Profit/Month: 13%,0,0 USD,54,749,63%,31%
BerrysBonusBonanaza,30 USD,241%,Profit/Month: 9%,0,0 USD,92,3 502,60%,36%
NO GAME,30 USD,254%,Profit/Month: -9%,0,0 USD,17,263,72%,28%
Istikomah profit,30 USD,639%,Profit/Month: 2%,0,0 USD,138,438,81%,50%
CruiserPro_2,30 USD,238%,Profit/Month: 9%,1,0 USD,33,3 320,69%,37%
FCB Signal,30 USD,234%,Profit/Month: 6%,1,12 USD,115,1 689,75%,30%
Ria Agustine,30 USD,239%,Profit/Month: 3%,1,3.5K USD,58,493,60%,38%
GerFX Forex Cyborg Darwinex,50 USD,228%,Profit/Month: 6%,1,114 USD,160,2 303,70%,29%
ARCHER Calm,30 USD,105%,Profit/Month: 8%,13,8K USD,13,214,85%,5%
EURCHF,30 USD,238%,Profit/Month: -10%,0,0 USD,139,2 597,84%,25%
Cambist,30 USD,636%,Profit/Month: 30%,0,0 USD,14,198,55%,38%
Snipers Momentum,30 USD,222%,Profit/Month: 5%,0,0 USD,60,250,57%,39%
Trend M,99999 USD,553%,Profit/Month: 25%,0,0 USD,93,2 910,62%,37%
EaBang 11,49 USD,216%,Profit/Month: 1%,0,0 USD,56,2 763,75%,27%
Standard,40 USD,290%,Profit/Month: 13%,4,3.7K USD,31,690,87%,44%
Bear Vs Bull IC Markets,30 USD,213%,Profit/Month: -3%,1,13 USD,169,2 473,76%,15%
Ciro Novaes,30 USD,1 352%,Profit/Month: -8%,0,0 USD,30,592,92%,43%
Vixion Ea Pro,30 USD,210%,Profit/Month: 12%,0,0 USD,35,365,78%,28%
Fxprotrader,30 USD,369%,Profit/Month: 3%,0,0 USD,89,1 839,90%,19%
Variator,35 USD,249%,Profit/Month: 36%,2,1.5K USD,14,318,76%,36%
FPS Trading,30 USD,212%,Profit/Month: 12%,0,0 USD,24,2 312,72%,38%
Renko Saw,50 USD,206%,Profit/Month: 4%,1,2.8K USD,34,908,72%,20%
FengHui,30 USD,302%,Profit/Month: 2%,0,0 USD,160,17 246,60%,25%
ICMARKETS 562,30 USD,205%,Profit/Month: 3%,1,0 USD,150,3 869,77%,19%
Crypto and Gold,30 USD,206%,Profit/Month: -2%,0,0 USD,56,353,63%,26%
Neuro Bot Trading,30 USD,201%,Profit/Month: -1%,0,0 USD,139,1 907,70%,36%
Breakthrough for Experiments,30 USD,202%,Profit/Month: 5%,0,0 USD,128,652,73%,25%
DAINESE F,30 USD,197%,Profit/Month: 9%,0,0 USD,66,802,67%,22%
Magic signal,50 USD,216%,Profit/Month: 31%,0,0 USD,26,450,64%,42%
KI Optimized v2001,30 USD,197%,Profit/Month: 4%,0,0 USD,73,721,72%,28%
One Trade,30 USD,888%,Profit/Month: 42%,1,1.4K USD,23,207,50%,24%
DgC32WT,30 USD,197%,Profit/Month: 2%,1,0 USD,116,909,66%,34%
ICMARKETS 208,30 USD,188%,Profit/Month: 1%,4,3.3K USD,153,3 063,78%,19%
Sixty One Capital Cash Flow Forex,30 USD,193%,Profit/Month: 4%,0,0 USD,50,3 180,48%,31%
Tryfoss 23 EA since 2019,50 USD,192%,Profit/Month: -3%,0,0 USD,82,1 454,60%,31%
G Cycle Trader,39 USD,202%,Profit/Month: 12%,3,4.4K USD,28,548,61%,27%
NightTrader Mix ICM,20 USD,259%,Profit/Month: 5%,1,0 USD,182,2 655,87%,23%
My EA trading,30 USD,139%,Profit/Month: -1%,41,26K USD,17,47,97%,19%
